Source,Title,Price,Rating,Link
Nykaa,Red Tape Women Solid Brown Sneaker,1829.0,,https://www.nykaa.com/red-tape-women-solid-brown-sneaker/p/20088776?productId=20088776&pps=1
Nykaa,Red Tape ETPU Women Textured Black Walking Shoes,1949.0,,https://www.nykaa.com/red-tape-women-textured-black-walking-shoes/p/20411795?productId=20411795&pps=2
Nykaa,Red Tape Women Colorblocked Black Lifestyle Casual Shoes,1919.0,,https://www.nykaa.com/red-tape-women-colorblocked-black-lifestyle-casual-shoes/p/17628921?productId=17628921&pps=3
Nykaa,Red Tape Women Solid White and Purple Athleisure Shoes,2069.0,,https://www.nykaa.com/red-tape-women-solid-white-and-purple-athleisure-shoes/p/18698025?productId=18698025&pps=4
Nykaa,Red Tape Women Purple Casual Sneakers,1709.0,,https://www.nykaa.com/red-tape-women-purple-casual-sneakers/p/20480513?productId=20480513&pps=5
Nykaa,Red Tape Women Colorblocked White & Blue Sneakers,2069.0,,https://www.nykaa.com/red-tape-women-colorblocked-white-blue-sneakers/p/19935276?productId=19935276&pps=6
Nykaa,Red Tape Women Solid White and Pink Athleisure Shoes,2069.0,,https://www.nykaa.com/red-tape-women-solid-white-and-pink-athleisure-shoes/p/18698027?productId=18698027&pps=7
Nykaa,Red Tape Women Colorblocked Off White & Pink Lifestyle Sneak...,1649.0,,https://www.nykaa.com/red-tape-women-colorblocked-off-white-pink-lifestyle-sneakers/p/16842665?productId=16842665&pps=8
Nykaa,Red Tape Women Solid White Lifestyle Sneakers,1889.0,,https://www.nykaa.com/red-tape-women-solid-white-lifestyle-sneakers/p/21142732?productId=21142732&pps=9
Nykaa,Red Tape Women Colorblocked White Lifestyle Sneakers,1889.0,,https://www.nykaa.com/red-tape-women-colorblocked-white-lifestyle-sneakers/p/21142731?productId=21142731&pps=10
Nykaa,Red Tape Women Colorblocked Off White Mint Sneakers,2069.0,,https://www.nykaa.com/red-tape-women-colorblocked-off-white-mint-sneakers/p/19935275?productId=19935275&pps=11
Nykaa,Red Tape Women Casual White & Beige Super Sneakers,1769.0,,https://www.nykaa.com/red-tape-women-casual-white-beige-super-sneakers/p/20609659?productId=20609659&pps=12
Nykaa,Red Tape Women Black Walking Shoes,2189.0,,https://www.nykaa.com/red-tape-women-black-walking-shoes/p/26248319?productId=26248319&pps=13
Nykaa,Red Tape Men Beige Sneakers,1769.0,,https://www.nykaa.com/red-tape-men-beige-sneakers/p/26310708?productId=26310708&pps=14
Nykaa,Red Tape Women White Walking Shoes,2459.0,,https://www.nykaa.com/red-tape-women-white-walking-shoes/p/26248312?productId=26248312&pps=15
Nykaa,Red Tape Cream Walking Shoes for Women,2459.0,,https://www.nykaa.com/red-tape-cream-walking-shoes-for-women/p/26248313?productId=26248313&pps=16
Nykaa,Red Tape Walking Shoes for Women in Grey,2459.0,,https://www.nykaa.com/red-tape-walking-shoes-for-women-in-grey/p/26248311?productId=26248311&pps=17
Nykaa,Red Tape Women Grey Walking Shoes,2069.0,,https://www.nykaa.com/red-tape-women-grey-walking-shoes/p/26248315?productId=26248315&pps=18
Nykaa,Red Tape Women White Walking Shoes,2189.0,,https://www.nykaa.com/red-tape-women-white-walking-shoes/p/26248317?productId=26248317&pps=19
Nykaa,Red Tape Women Textured Black Athleisure Sports Shoes,2399.0,,https://www.nykaa.com/red-tape-women-textured-black-athleisure-sports-shoes/p/16976366?productId=16976366&pps=20
Ajio,Men Flat Sneakers,1494.0,,https://www.ajio.com/red-tape-men-flat-sneakers/p/702426894_green?
Ajio,Men Colourblock Low-Top Lace-Up Sneakers,945.0,,https://www.ajio.com/red-tape-men-colourblock-low-top-lace-up-sneakers/p/702226260_grey?
Ajio,Men Round-Toe Sneakers with Lace Fastening,1275.0,,https://www.ajio.com/red-tape-men-round-toe-sneakers-with-lace-fastening-/p/702521017_black?
Ajio,Men Casual Shoes with PU Upper,1440.0,,https://www.ajio.com/red-tape-men-casual-shoes-with-pu-upper/p/701431289_black?
Ajio,Men Sneakers with PU Upper,1275.0,,https://www.ajio.com/red-tape-men-sneakers-with-pu-upper/p/702425196_silver?
Ajio,Men Lace-Up Walking Shoes,2490.0,,https://www.ajio.com/red-tape-men-lace-up-walking-shoes/p/702965548_black?
Ajio,Men Sneakers with PU Upper,1005.0,,https://www.ajio.com/red-tape-men-sneakers-with-pu-upper/p/702649566_green?
Ajio,Men Sneakers with PU upper,1995.0,,https://www.ajio.com/red-tape-men-sneakers-with-pu-upper/p/700744692_grey?
Ajio,Men Flat Sneakers,1411.0,,https://www.ajio.com/red-tape-men-flat-sneakers/p/702426904_blue?
Ajio,Colourblock Mid-Top Casual Shoes,1020.0,,https://www.ajio.com/red-tape-colourblock-mid-top-casual-shoes/p/701597978_white?
Ajio,Women Sports Shoes With Mesh Upper,1260.0,,https://www.ajio.com/red-tape-women-sports-shoes-with-mesh-upper/p/701299549_black?
Ajio,Men Round-Toe Sneakers with Lace Fastening,1275.0,,https://www.ajio.com/red-tape-men-round-toe-sneakers-with-lace-fastening-/p/702521016_offwhite?
Ajio,Men Flat Sneakers,1784.0,,https://www.ajio.com/red-tape-men-flat-sneakers/p/702426874_white?
Ajio,Men Colourblock Lace-Up Sneakers,945.0,,https://www.ajio.com/red-tape-men-colourblock-lace-up-sneakers-/p/701966306_blue?
Ajio,Men Round-Toe Sneakers with Lace Fastening,1602.0,,https://www.ajio.com/red-tape-men-round-toe-sneakers-with-lace-fastening-/p/702521020_white?
Ajio,Men Round-Toe Sneakers with Lace Fastening,1518.0,,https://www.ajio.com/red-tape-men-round-toe-sneakers-with-lace-fastening-/p/702521013_grey?
Ajio,Men Casual Shoes with Mesh Upper,1035.0,,https://www.ajio.com/red-tape-men-casual-shoes-with-mesh-upper---/p/701438678_black?
Ajio,Men Sports Shoes With Mesh Upper,1760.0,,https://www.ajio.com/red-tape-men-sports-shoes-with-mesh-upper/p/701311078_white?
